Name,Mass (MJ),Radius (RJ),Distance (ly)
2MASS J22362452+4751425 b,12.5,230,
BD+15 2375 b,1.061,153.22,
BD+20 594 b,0.05129,0.199,496
CI Tauri b,11.6+2.9−2.7,8.9891±0.0202,
EPIC 211901114 b,<5,0.9±0.5,0.46±0.02
GJ 725 B b,0.0038,2.7,
Gliese 536 b,0.01686,8.7076,
Gliese 676 Ac,6.8,7337,
Gliese 3998 b,0.00777,2.64977,0.5
Gliese 3998 c,0.0197,13.74,0.5
HAT-P-65b,0.527,1.89,2740
HAT-P-66b,0.783,1.59,3020
HATS-11b,0.85,1.51,2950
HATS-12b,2.38,1.35,3200
HATS-18b,1.98,1.337,2100
HATS-19b,0.427±0.071,1.66+0.27−0.21,1860±30
HATS-20b,0.273±0.035,0.776±0.055,1610±40
HATS-21b,0.332+0.040−0.030,1.123+0.147−0.054,954±10
HATS-22b,2.74,0.953,678
HATS-23b,1.47,1.86,2440
HATS-24b,2.44,1.487,1700
HATS-25b,0.613,1.26,0.99
HATS-26b,0.65,1.75,1.3
HATS-27b,0.53,1.5,1.42
HATS-28b,0.672,1.194,0.93
HATS-29b,0.653,1.251,1.03
HATS-30b,0.706,1.175,1.09
HATS-31b,0.88,1.64,2840
HATS-32b,0.92,1.249,2740
HATS-33b,1.192,1.23,830
HATS-34b,0.941,1.43,1740
HATS-35b,1.222,1.464,1820
HD 3167 b,0.139,0.959628,
HD 3167 c,0.254,29.8454,
HD 5583 b,5.78,139.35,
HD 9174 b [id],1.11,1179,
HD 12484 b,2.98,58.83,
HD 30177 c,7.6,11613,
HD 35759 b,3.76,82.467,
HD 42618 b [id],0.04531,149.61,1.01
HD 68402 b,3.07,1103,
HD 72892 b [id],5.45,39.475,
HD 86950 b,3.6,1270,
HD87646 b [fr],12.4,13.481,
HD 99706 c,5.69,1278,
HD 128356 b [id],0.89,298.2,
HD 131399 Ab,4,200000,2.08
HD 133131 Ab,1.42,649,
HD 133131 Ac,0.42,3568,
HD 133131 Bb,2.5,5769,
HD 143105 b,1.21,2.1974,
HD 147873 b [id],5.14,116.596,
HD 147873 c [id],2.3,491.54,
HD 156279 c,8.60+0.50−0.55,4191+270−310,
HD 164922 c,0.04059,75.765,0.87
HD 165155 b,2.89,434.5,
HD 191806 b,8.52,1606.3,
HD 214823 b [id],19.2,1877,
HD 219828 c,15.1,4791,
HD 220842 b,3.18,218.47,
HD 221585 b [id],1.61,1173,
HD 222076 b [id],1.56,871,
HD 224538 b [id],5.97,1189.1,
HD 11343 b,5.5,1560.2,
HIP 41378 b,0.259,15.5712,
HIP 41378 c,0.228,31.6978,
HIP 41378 d,0.353,156,
HIP 41378 e,0.492,131,
HIP 41378 f,0.91,324,
HIP 65407 b,0.428,28.125,
HIP 65407 c,0.784,67.3,
HD 135760 b [ru],2.4,822.3,
HIP 109384 b,1.56,499.48,
HIP 109600 b,2.68,232.08,
HR 2562 b,30,1.11,
K2-8c,0.215,5.06416,
K2-19d,0.044,0.102,950
K2-24b,0.062,0.52,590
K2-24c,0.082,0.723,590
K2-26b,0.238,14.5665,
K2-27b,0.09722,0.4,
K2-29b,0.73,1.19,600
K2-30b,0.579,1.039,910
K2-31b,1.774,1.06,
K2-32b,0.05191,0.458,
K2-32c,0.03807,0.269,
K2-32d,0.03241,0.306,
K2-33b,3.7,0.45,
K2-34b,1.76,1.35,1230
K2-35b,0.125,2.39984,
K2-35c,0.186,5.60912,
K2-36b,0.118,1.42266,
K2-36c,0.25,5.34059,
K2-37b,0.144,4.44117,
K2-37c,0.245,6.42904,
K2-37d,0.244,14.09189,
K2-38b,0.03776,0.138,1.03+0.04−0.02
K2-38c,0.03115,0.216,1.03+0.04−0.02
K2-39b,0.12522,0.509,1.19
K2-42b,0.192,6.68796,
K2-43b,0.368,3.47114,
K2-44b,0.243,5.65688,
K2-45b,0.599,1.7292684,
K2-46b,0.183,19.1541,
K2-47b,0.169,31.6372,
K2-48b,0.2,20.5065,
K2-49b,0.172,2.77065,
K2-50b,0.142,8.7529,
K2-52b,0.99,3.53482,
K2-53b,0.223,12.2054,
K2-54b,0.103,9.7843,
K2-55b,0.341,2.849258,
K2-57b,0.187,9.0063,
K2-58b,0.239,7.05254,
K2-58c,0.145,2.53726,
K2-58d,0.153,22.8827,
K2-59b,0.215,20.6921,
K2-59c,0.205,11.2954,
K2-60b,0.426,0.683,0.97
K2-61b,0.221,2.57302,
K2-62b,0.191,6.67202,
K2-62c,0.191,16.1966,
K2-63b,0.287,20.257,
K2-64b,0.185,6.53044,
K2-65b,0.141,12.6475,
K2-66b,0.222,5.06965,
K2-68b,0.141,8.05428,
K2-69b,0.207,7.06599,
K2-70b,0.258,13.97896,
K2-71b,0.192,6.98541,
K2-72b,0.067,5.57739,
K2-72c,0.077,15.1871,
K2-72d,0.065,7.7599,
K2-72e,0.073,24.1669,
K2-73b,0.219,7.49543,
K2-74b,0.206,19.5666,
K2-75b,0.238,7.8142,
K2-75c,0.247,18.311,
K2-77b,1.9,0.205,
K2-79b,0.0371±0.0113,0.365±0.015,
K2-80b,0.179,19.0918,
K2-80c,0.131,5.605,
K2-81b,0.162,6.10224,
K2-83b,0.111,2.74697,
K2-83c,0.132,9.99767,
K2-84b,0.215,6.4215,
K2-84c,0.181,27.86,
K2-85b,0.09,0.684533,
K2-86b,0.175,8.77683,
K2-87b,0.41,9.72739,
K2-88b,0.11,4.6122,
K2-89b,0.055,1.096026,
K2-90b,0.182,13.7311,
K2-90c,0.091,2.90032,
K2-91b,0.098,1.419549,
K2-93b,0.228,0.138,
K2-93c,0.259,0.22,
K2-95b [id],0.03458,0.31,0.36
K2-97b [id],1.1,1.31,
K2-98b [id],0.10131,0.384,1.07
K2-99b,0.97,1.06±0.01,1.6
K2-100b,0.312,1.673916,
K2-101b,0.178,14.677286,
K2-102b,0.116,9.915615,
K2-103b,0.196,21.169619,
K2-104b,0.17,1.97419,
KELT-10b,0.679,1.399,600
KELT-14b,1.284,1.743,1.24
KELT-15b,0.91,1.443,1.18
KELT-17b,1.31,1.525,680
KIC 7917485 b,11.8,840,
Kepler-10d,0.019+0.005−0.003,102,
Kepler-20g,0.0628,34.94,
Kepler-46d,0.146,6.766589,
Kepler-56d,5.61,1002,
Kepler-80f,0.108,0.9867873,
Kepler-132e,0.105,110.2869374,
Kepler-148d,0.774,51.84688575,
Kepler-154d,0.343,20.54981883,
Kepler-154e,0.134,3.93276465,
Kepler-154f,0.134,9.91935684,
Kepler-157d,0.13,7.02573474,
Kepler-166d,0.154,1.55400393,
Kepler-167d,0.107,21.803855,0.77
Kepler-167e,0.906,1071.23228,0.77
Kepler-176e,0.129,51.16579,
Kepler-191d,0.203,5.94504102,
Kepler-192d,0.091,6.47027579,
Kepler-198d,0.136,1.31184443,
Kepler-217d,0.118,3.88689525,
Kepler-218d,0.237,124.5244647,
Kepler-245e,0.156,3.21982106,
Kepler-255d,0.118,1.04562266,
Kepler-271d,0.059,5.24972541,
Kepler-304e,0.107,1.49914695,
Kepler-342e,0.079,1.64422461,
Kepler-351d,0.243,142.544247,
Kepler-398d,0.079,6.83437001,
Kepler-401d,0.203,184.256405,
Kepler-403d,0.127,13.61159129,
Kepler-411c,0.292,7.83442788,
Kepler-436c,0.208,16.79713874,
Kepler-461b,0.23,8.31378306,
Kepler-462b,0.336,84.6879808,
Kepler-463b,0.272,8.98101683,
Kepler-464b,0.294,7.25696522,
Kepler-465b,0.263,9.94067247,
Kepler-466b,0.254,51.07926307,
Kepler-466c,0.112,3.70921385,
Kepler-467b,0.201,24.99324193,
Kepler-468b,1.19,38.47875707,
Kepler-470b,1.288,24.66919569,
Kepler-471b,1.335,5.01423457,
Kepler-472b,0.287,4.17625551,
Kepler-473b,0.364,14.55731705,
Kepler-474b,0.273,5.66067294,
Kepler-475b,0.222,3.10550819,
Kepler-476b,0.275,14.00640607,
Kepler-477b,0.185,11.11990653,
Kepler-478b,0.242,13.2217576,
Kepler-479b,0.189,12.49341307,
Kepler-480b,0.248,4.9195838,
Kepler-481b,0.223,10.06082567,
Kepler-482b,0.211,56.35418576,
Kepler-483b,0.286,30.229104,
Kepler-484b,0.203,10.04556931,
Kepler-485b,1.286,3.2432598,
Kepler-486b,0.981,30.36044667,
Kepler-487b,1.019,15.3587684,
